Online boarding,Inflight wifi service,Class,Type of Travel,Inflight entertainment,Flight Distance,Seat comfort,Leg room service,On-board service,Cleanliness,Ease of Online booking,Age,satisfaction
5,0,0,0,2,3726.5,3,2,2,1,0,36,1
1,3,1,1,1,200.0,1,3,1,1,3,51,0
5,5,1,0,5,308.0,5,1,1,5,4,41,1
0,5,1,0,3,331.0,3,3,3,3,5,23,1
4,4,1,0,4,689.0,4,1,5,4,5,44,1
2,2,1,0,5,390.0,5,1,3,5,2,27,0
4,4,0,0,4,3416.0,4,4,4,4,5,52,1
1,1,1,1,3,358.0,3,2,5,3,1,68,0
1,1,2,1,3,1171.0,3,5,2,3,1,56,0
4,1,1,1,2,594.0,3,1,2,3,1,62,0
4,4,2,1,5,337.0,5,5,3,5,4,7,0
5,2,0,0,4,3664.0,4,4,4,4,2,44,1
1,1,1,1,2,1235.0,2,2,3,2,1,12,0
1,1,0,0,3,544.0,1,5,5,3,1,25,0
2,2,1,0,5,666.0,5,4,4,5,2,45,0
3,3,1,1,2,1183.0,3,5,3,2,3,25,0
5,3,0,0,5,2475.0,4,5,5,3,5,46,1
3,3,1,0,3,340.0,4,1,3,3,4,24,0
4,5,0,0,4,3726.5,4,2,4,4,5,30,1
3,3,1,1,2,1021.0,2,4,1,2,3,27,0
3,3,1,0,3,255.0,3,3,4,3,4,37,1
1,1,0,0,1,1780.0,1,1,4,1,5,9,0
4,2,0,0,5,3087.0,5,5,5,4,2,58,1
3,5,0,0,4,1534.0,3,5,3,3,5,41,1
4,3,0,0,3,2267.0,4,4,3,2,2,35,0
4,4,1,0,4,956.0,4,1,3,4,4,43,1
3,3,0,0,2,327.0,2,4,4,2,3,39,0
3,1,0,0,2,125.0,4,2,2,2,2,62,0
2,2,1,1,5,984.0,5,3,4,5,2,33,0
2,2,1,0,2,1754.0,2,4,4,2,1,31,0
4,4,1,1,5,764.0,5,4,4,5,4,24,0
4,5,0,0,4,3424.0,4,4,4,5,5,49,1
2,2,1,1,3,738.0,2,3,3,3,2,34,0
1,1,1,0,4,1747.0,4,3,4,4,2,30,0
1,1,1,1,2,67.0,4,3,4,2,1,7,0
5,3,0,0,4,3013.0,5,4,4,4,3,40,1
4,4,0,0,4,3726.5,4,4,4,4,2,46,1
2,2,1,1,1,213.0,1,1,4,1,2,25,0
4,2,1,1,2,1120.0,2,4,4,2,2,47,0
0,2,1,1,4,163.0,4,4,4,4,0,13,0
3,2,0,0,2,3075.0,3,2,2,3,2,43,0
2,2,1,1,5,942.0,4,4,5,5,2,19,0
4,4,1,1,3,1149.0,3,5,4,3,4,36,1
3,4,0,0,4,2390.0,4,3,4,2,1,36,0
2,2,1,0,2,258.0,2,3,2,2,2,34,0
2,2,1,1,5,134.0,5,2,3,5,2,35,0
5,5,0,0,4,214.0,4,4,4,4,5,26,1
4,4,1,1,3,404.0,5,5,4,3,4,38,1
2,2,1,1,4,417.0,5,2,2,4,2,15,0
4,4,0,0,4,1119.0,4,4,3,4,4,31,1
3,3,2,1,5,2075.0,5,2,3,5,3,15,0
5,5,1,1,4,468.0,4,3,4,4,5,7,1
5,5,0,0,5,942.0,4,5,5,4,5,35,1
5,4,0,0,5,3163.0,5,4,5,4,5,42,1
4,4,1,0,4,1399.0,5,4,4,3,2,57,1
5,2,0,0,4,3132.0,5,4,4,5,2,57,1
4,4,0,0,2,3497.0,5,2,2,4,4,59,1
3,3,1,1,1,639.0,1,1,3,1,3,7,0
4,3,0,0,4,1050.0,4,4,4,4,3,31,1
4,2,2,1,1,526.0,5,2,1,3,2,61,0
3,3,1,1,5,763.0,5,2,5,5,3,38,0
2,2,1,0,2,304.0,2,5,1,2,2,25,0
4,2,0,0,4,2501.0,4,5,4,4,2,25,1
2,2,1,1,3,147.0,3,2,1,3,2,48,0
5,3,0,0,5,399.0,5,5,5,3,3,45,1
2,2,0,0,2,337.0,2,5,3,2,2,32,0
3,3,1,1,3,259.0,3,3,3,3,3,35,0
3,4,0,0,5,1635.0,4,5,5,4,4,50,1
4,3,1,0,3,486.0,3,3,3,2,4,58,0
1,1,0,0,2,678.0,2,2,4,2,1,25,0
3,3,1,0,1,627.0,1,2,2,1,3,23,0
0,3,1,1,3,239.0,3,5,1,3,0,28,0
5,3,0,0,4,247.0,5,4,4,3,3,53,1
1,1,2,0,1,632.0,1,4,4,1,2,12,0
4,2,0,0,2,1846.0,3,2,2,1,3,40,0
3,1,0,0,1,3072.0,4,1,1,4,4,39,0
4,1,0,0,4,2876.0,4,1,5,4,1,24,1
4,4,1,0,2,628.0,2,1,2,2,4,23,1
5,3,0,0,4,447.0,5,4,4,3,3,42,1
4,2,0,0,2,2286.0,4,2,2,3,4,66,0
2,2,1,0,4,175.0,4,4,4,4,2,36,0
4,4,0,0,1,888.0,1,5,3,1,4,25,0
3,1,1,1,5,775.0,1,1,5,3,1,58,0
4,5,0,0,4,2876.0,4,5,4,4,3,44,1
5,2,0,0,4,2562.0,4,4,4,3,2,41,1
4,3,0,0,4,383.0,4,5,3,4,3,33,1
3,3,1,0,4,998.0,4,4,2,4,3,39,0
3,3,1,1,2,589.0,2,4,4,2,3,24,0
2,2,1,1,4,2704.0,4,4,2,4,2,58,0
5,2,0,0,5,2068.0,4,4,5,4,4,46,1
4,0,0,0,4,170.0,4,4,4,3,0,46,1
3,3,1,1,2,173.0,2,2,5,2,3,10,0
4,5,1,0,4,326.0,2,5,4,4,1,52,1
5,1,0,0,3,813.0,5,3,3,3,1,58,1
5,3,0,0,5,1372.0,4,5,5,4,3,56,1
5,1,0,0,3,376.0,5,3,3,1,1,44,1
4,2,0,0,4,546.0,4,3,3,4,2,26,1
5,1,0,0,4,985.0,5,4,4,5,1,33,1
2,2,1,0,2,1107.0,2,4,4,2,4,27,0
4,4,0,0,4,376.0,4,4,4,1,5,52,0
3,3,0,0,3,936.0,3,3,3,3,4,29,0
3,5,1,0,3,752.0,3,3,2,3,5,16,1
5,5,2,0,5,147.0,5,3,5,5,4,48,1
5,4,1,1,2,813.0,2,3,4,2,5,10,1
1,1,0,0,3,547.0,3,3,4,3,1,36,0
4,3,0,0,4,234.0,5,4,4,3,3,55,1
4,2,0,0,4,1201.0,4,2,4,4,2,14,1
4,2,2,0,2,1068.0,3,2,2,1,3,58,0
3,3,1,1,3,731.0,3,1,1,3,3,62,0
2,2,1,0,2,1053.0,2,2,4,2,2,25,0
3,5,0,0,5,633.0,3,4,5,4,3,80,0
4,3,1,1,1,2218.0,3,3,1,2,3,68,0
4,3,0,0,4,2961.0,4,5,5,4,3,25,1
5,4,0,0,2,273.0,2,4,5,2,5,26,1
4,3,1,0,3,214.0,4,3,3,2,1,59,0
3,3,1,0,4,102.0,4,1,3,4,3,38,0
3,3,1,1,4,1428.0,4,3,5,4,3,23,0
2,2,0,0,2,2560.0,2,4,4,2,4,29,0
2,2,1,1,5,488.0,5,5,5,5,2,23,0
2,1,1,0,4,802.0,4,4,3,4,2,35,0
0,1,1,0,4,328.0,4,1,2,4,0,38,0
5,2,0,0,5,2829.0,4,5,5,5,2,39,1
3,2,1,1,5,868.0,4,2,5,3,2,58,0
3,3,1,1,3,337.0,3,5,4,3,3,14,0
4,1,0,0,4,1587.0,4,3,5,4,5,22,1
0,1,1,1,2,157.0,2,4,4,2,0,69,0
4,0,0,0,4,170.0,2,4,4,4,0,47,1
2,2,2,0,2,328.0,2,4,4,2,4,37,0
4,1,0,0,4,2874.0,5,5,4,3,1,52,1
3,3,1,1,4,1037.0,1,1,3,4,3,65,0
4,4,0,0,5,3726.5,5,5,5,3,4,41,1
5,1,0,0,5,3173.0,5,5,5,4,1,57,1
1,1,0,0,4,944.0,2,4,4,1,1,43,1
2,2,1,1,3,1325.0,3,3,3,3,2,52,0
3,2,0,0,4,2143.0,1,4,4,5,2,35,1
2,2,1,1,4,641.0,4,3,5,4,2,65,0
2,2,1,0,2,337.0,2,3,2,2,5,55,1
4,3,0,1,4,2586.0,4,4,4,4,3,24,0
4,4,1,1,2,175.0,4,0,2,4,0,44,0
2,2,1,1,1,258.0,1,5,4,1,2,19,0
4,4,0,0,4,3726.5,4,5,5,4,4,32,1
3,1,0,0,5,1865.0,4,5,5,4,1,39,1
5,5,1,1,4,1045.0,4,3,3,4,5,57,1
5,2,0,0,4,2046.0,5,5,4,3,2,39,1
3,3,1,1,1,224.0,2,5,4,1,3,16,0
3,3,1,0,3,409.0,2,3,3,3,3,51,0
3,2,1,1,4,1744.0,4,1,4,4,1,67,0
3,4,0,0,4,2798.0,3,4,4,3,4,36,0
4,4,2,0,4,500.0,4,4,1,4,2,57,1
0,0,1,1,4,1810.0,4,5,1,4,0,54,1
4,3,0,0,2,202.0,3,1,2,2,1,64,0
5,2,0,0,4,3726.5,5,5,4,5,2,57,1
2,2,1,0,5,190.0,1,5,2,5,2,24,0
3,2,0,0,2,3526.0,4,2,2,4,5,51,0
4,3,0,0,3,1758.0,4,3,3,2,4,45,0
4,4,1,0,3,204.0,3,2,4,3,4,19,0
5,1,0,0,4,3529.0,5,4,4,3,1,57,1
4,2,0,0,3,209.0,3,2,3,2,4,52,0
4,4,0,0,5,395.0,4,5,5,5,4,41,1
2,2,1,1,1,423.0,1,3,5,1,2,38,0
5,1,0,0,5,3294.0,5,2,2,5,1,21,1
3,3,1,1,1,196.0,1,2,3,1,3,11,0
2,2,1,1,5,191.0,5,3,1,5,2,51,0
1,1,1,1,3,591.0,3,4,4,3,1,12,0
3,3,1,0,5,1325.0,3,3,1,3,3,23,0
1,1,1,1,4,748.0,4,2,3,4,1,14,0
1,1,2,1,2,937.0,2,5,2,2,1,40,0
4,4,0,0,4,3143.0,4,4,4,5,4,60,1
4,5,0,0,5,2355.0,5,5,5,3,5,48,1
4,4,1,1,5,101.0,5,1,4,5,4,36,0
5,5,0,0,5,757.0,5,5,5,3,5,58,1
5,2,0,0,4,296.0,5,4,4,5,2,60,1
5,5,0,0,4,3726.5,5,4,4,3,5,48,1
4,4,1,1,4,1500.0,4,3,1,4,4,37,1
5,5,0,0,2,1431.0,5,2,2,3,2,36,1
3,4,2,1,5,1029.0,5,2,4,5,3,11,0
4,4,0,0,4,2586.0,3,4,4,1,4,35,1
4,1,0,0,5,2583.0,4,5,5,4,1,49,1
4,3,0,0,4,3259.0,5,4,4,3,3,57,1
4,3,1,0,3,258.0,3,2,1,3,4,23,0
4,5,0,0,5,2382.0,4,5,2,4,5,25,1
4,4,0,0,5,2992.0,4,5,5,3,4,49,1
2,2,0,0,2,402.0,3,2,2,2,4,36,0
3,3,0,0,3,1784.0,4,4,3,2,3,34,1
5,4,0,0,5,549.0,5,5,5,5,4,58,1
3,4,0,0,5,3595.0,4,4,5,4,4,35,1
3,3,1,1,3,1096.0,3,2,2,3,3,57,0
1,1,1,1,3,337.0,3,2,3,3,1,13,0
4,4,0,0,5,526.0,5,5,5,5,5,47,1
5,4,0,0,4,3203.0,5,4,4,4,4,58,1
5,1,0,1,3,1576.0,4,1,3,5,1,44,0
3,2,0,0,2,2898.0,2,3,3,2,1,22,0
4,4,0,0,3,447.0,3,5,5,3,4,27,0
5,1,2,1,3,986.0,3,2,3,2,2,42,0
5,5,1,0,5,296.0,5,5,1,5,5,32,1
3,3,0,0,3,2556.0,3,4,2,3,3,29,0
5,5,2,0,5,1069.0,5,2,2,5,1,34,1
2,1,0,0,5,2922.0,3,5,5,3,1,44,1
4,5,0,0,4,200.0,2,4,4,2,5,53,1
2,2,1,1,5,837.0,5,3,3,5,2,59,0
1,3,0,0,3,3439.0,2,3,3,2,5,71,0
3,4,1,0,4,177.0,5,4,4,5,1,42,1
1,2,1,0,2,108.0,2,3,3,2,5,38,0
3,3,1,1,4,562.0,4,2,5,4,3,47,0
2,3,1,1,2,1046.0,2,3,5,2,2,9,0
0,1,0,0,5,1076.0,5,5,3,5,0,36,0
1,1,1,0,1,1428.0,1,4,1,1,1,24,0
2,2,1,1,4,1010.0,2,1,5,2,2,23,0
1,1,1,1,4,164.0,3,5,4,4,1,29,0
2,2,2,1,4,67.0,4,4,4,4,2,35,0
4,3,1,1,5,1111.0,5,4,4,5,4,20,0
4,4,0,1,4,760.0,4,4,4,5,4,55,0
2,2,1,1,3,481.0,3,2,3,3,2,10,0
4,4,1,1,5,628.0,3,3,4,5,4,35,0
3,3,1,1,4,612.0,4,4,3,4,3,26,0
4,3,0,0,3,868.0,5,3,3,3,3,45,1
5,3,0,0,4,1574.0,5,4,4,4,3,47,1
4,5,0,0,4,313.0,5,4,4,1,5,42,1
2,2,1,1,5,925.0,2,2,3,5,2,63,0
1,1,1,0,2,1012.0,1,2,4,1,1,44,0
4,4,0,0,3,175.0,4,3,3,4,4,65,0
4,5,2,1,1,563.0,1,2,2,1,4,17,1
2,2,0,0,2,2567.0,2,3,2,2,4,23,0
3,3,1,1,4,212.0,4,1,2,4,3,59,0
0,0,1,1,2,580.0,2,5,2,2,0,12,1
5,2,0,0,5,842.0,4,5,5,5,1,57,1
3,3,1,1,2,1276.0,2,4,4,2,3,59,0
3,2,1,1,3,853.0,3,3,4,3,3,58,0
3,3,1,0,4,686.0,4,5,2,4,3,23,0
1,1,1,1,1,2342.0,1,3,3,1,1,59,0
5,5,1,0,1,451.0,1,5,5,1,5,55,1
5,4,0,0,5,2257.0,4,4,5,4,4,36,1
0,0,0,0,3,185.0,3,4,5,3,0,21,1
3,3,1,0,3,1547.0,3,5,2,3,3,56,0
5,1,0,0,5,1024.0,5,4,5,5,1,48,1
4,4,1,1,4,813.0,4,3,5,4,4,22,0
4,2,0,0,2,270.0,4,2,2,3,3,49,0
2,2,1,0,2,299.0,3,1,1,2,2,27,0
5,5,0,0,2,316.0,4,3,5,2,5,44,1
4,2,0,0,2,328.0,3,2,2,4,2,37,0
1,1,1,1,4,507.0,5,1,4,3,1,42,0
4,3,0,0,3,391.0,3,5,4,3,4,37,0
3,4,0,0,4,589.0,4,4,5,4,3,24,1
3,0,0,0,1,298.0,3,1,1,1,0,35,1
3,3,1,1,1,812.0,1,4,3,1,3,51,0
5,4,0,0,5,666.0,5,5,5,3,4,47,1
3,3,1,0,3,630.0,3,2,1,3,1,42,0
4,3,0,0,4,1671.0,4,5,5,4,3,28,1
3,3,0,0,4,453.0,4,2,5,4,3,36,0
4,4,0,0,5,3606.0,5,5,5,5,1,55,1
2,2,1,0,2,228.0,4,5,2,2,2,37,0
5,5,1,0,4,404.0,4,5,4,4,5,21,1
3,2,1,1,3,946.0,3,1,5,3,3,55,0
4,5,0,0,4,1771.0,4,4,4,3,4,49,1
4,2,1,1,4,403.0,4,5,4,5,5,48,0
2,2,2,1,4,409.0,4,1,4,4,2,49,0
4,3,0,0,4,2357.0,4,3,4,4,3,46,1
3,3,1,0,3,463.0,2,3,3,4,5,73,0
4,3,0,0,4,1773.0,4,5,3,4,3,27,1
4,3,1,0,3,175.0,4,3,3,2,2,60,0
4,4,1,1,4,1086.0,4,4,3,4,4,49,1
5,1,0,0,5,1249.0,5,1,5,5,1,30,1
5,5,0,0,4,259.0,4,2,3,4,5,24,1
5,1,0,0,5,2173.0,5,2,5,5,1,24,1
4,5,0,0,4,2890.0,5,4,4,4,5,42,1
4,4,0,0,4,2190.0,5,4,4,4,4,44,1
1,1,1,0,2,304.0,5,2,5,2,1,37,0
5,4,1,1,1,991.0,5,4,1,4,4,70,0
1,2,1,1,5,937.0,4,2,5,2,2,54,0
4,4,1,1,3,147.0,1,4,5,3,4,35,0
3,2,1,1,5,571.0,3,2,5,3,2,48,0
5,5,0,0,5,1440.0,3,5,5,5,5,16,1
4,4,0,0,4,2981.0,4,1,3,4,4,31,0
5,5,2,1,3,533.0,3,4,3,3,5,64,1
5,2,0,0,5,469.0,4,5,5,3,2,46,1
3,3,1,0,1,337.0,1,5,5,1,3,22,0
4,1,1,1,1,529.0,4,1,1,4,1,52,0
2,2,1,1,5,550.0,3,5,4,5,2,37,0
4,2,1,0,2,1892.0,2,3,1,2,1,24,0
2,1,0,1,4,116.0,5,1,4,4,1,63,0
3,3,1,1,5,1050.0,5,3,4,5,3,10,0
4,4,0,0,4,1947.0,4,5,5,4,4,21,1
3,2,1,0,3,1195.0,3,2,2,3,3,24,0
4,4,1,1,3,590.0,3,4,5,3,4,30,0
3,3,1,0,4,2384.0,3,2,5,3,3,27,0
5,1,0,0,5,1009.0,4,5,5,5,1,67,1
5,2,0,0,5,349.0,4,5,5,5,2,35,1
4,4,1,1,3,1068.0,3,4,5,3,4,36,1
4,2,0,0,4,1121.0,4,3,5,4,1,23,1
5,4,1,0,3,482.0,3,2,1,3,5,16,0
1,1,0,0,1,201.0,1,1,3,1,1,18,0
4,1,0,0,4,1947.0,4,4,4,5,1,34,1
4,3,0,0,5,585.0,4,3,5,4,3,80,0
4,4,2,0,4,2562.0,4,5,1,4,3,44,1
5,1,0,0,4,2704.0,5,4,5,5,1,47,1
2,2,1,0,1,546.0,1,3,1,1,2,36,0
4,3,0,0,4,3525.0,4,4,4,4,3,54,1
5,3,1,1,3,500.0,3,2,4,3,5,58,0
4,3,0,0,3,1872.0,3,3,3,3,5,41,0
1,4,1,0,4,776.0,5,4,4,3,3,60,1
4,4,1,0,4,271.0,4,1,1,4,3,71,0
4,3,0,0,5,2227.0,4,5,5,5,3,57,1
2,2,0,0,1,227.0,1,5,1,1,2,44,0
5,5,0,0,4,602.0,5,4,4,4,4,37,1
3,3,1,1,1,184.0,1,5,4,1,3,7,0
2,4,1,0,3,919.0,3,4,3,4,4,45,1
2,2,1,0,5,403.0,1,2,3,5,2,22,0
4,4,1,0,4,594.0,4,2,1,4,4,28,0
0,1,0,0,1,3652.0,1,5,3,1,0,31,0
3,1,0,0,1,3583.0,3,1,1,2,4,72,0
1,1,1,0,3,881.0,1,1,2,3,1,20,0
3,3,1,1,4,1404.0,4,2,3,4,3,61,0
2,2,0,0,2,1399.0,2,3,3,2,1,22,0
4,5,0,0,5,950.0,5,5,5,5,5,56,1
3,3,1,0,5,1060.0,5,2,3,5,3,22,0
5,5,0,0,4,3054.0,4,4,4,5,5,44,1
4,4,2,0,4,430.0,4,5,3,4,5,44,1
3,3,0,0,3,2222.0,3,1,4,3,4,28,0
4,2,0,0,5,3027.0,4,5,5,5,2,41,1
3,1,0,1,2,1258.0,4,1,2,3,1,66,0
4,4,1,0,4,302.0,4,3,2,4,5,47,0
4,4,0,0,4,516.0,5,5,4,4,4,44,1
0,0,1,0,3,445.0,3,2,3,3,0,21,1
4,1,0,0,4,1217.0,5,4,4,5,1,52,1
2,2,1,0,3,1216.0,2,2,3,3,2,54,0
2,2,1,1,4,1400.0,4,2,5,4,2,17,0
3,3,2,0,3,979.0,3,3,3,4,5,46,0
4,4,2,0,4,787.0,4,3,4,4,1,45,1
4,3,0,0,4,628.0,5,4,4,5,3,53,1
4,4,0,0,5,907.0,5,5,5,5,4,45,1
2,1,0,0,1,258.0,2,1,1,4,2,34,0
3,2,0,0,3,1744.0,4,4,3,4,2,43,1
3,3,1,0,2,712.0,2,4,2,2,3,26,0
3,3,1,1,2,965.0,2,5,4,2,3,37,0
5,5,1,1,2,599.0,2,2,3,2,5,29,1
1,1,0,0,5,2176.0,1,3,4,5,1,30,0
1,5,1,1,5,601.0,4,5,5,4,5,49,1
1,1,1,0,4,175.0,5,2,3,4,1,22,0
1,3,1,1,4,1258.0,1,3,4,2,3,70,0
0,5,1,1,4,226.0,5,5,4,4,0,31,1
3,3,1,1,1,444.0,5,1,1,2,1,44,0
3,1,0,0,1,2200.0,4,1,1,1,5,78,0
4,4,1,0,2,458.0,2,4,4,2,4,18,0
2,2,0,0,2,2507.0,2,2,2,2,1,29,0
1,3,0,0,4,2975.0,4,4,4,4,3,43,1
3,3,1,0,3,1235.0,3,3,1,3,1,48,0
3,3,1,1,2,1250.0,2,4,3,2,3,35,0
4,5,0,0,2,551.0,2,5,5,2,4,25,1
3,2,0,0,2,2697.0,3,2,2,1,2,62,0
2,2,1,0,1,1034.0,1,1,4,1,2,43,0
2,3,1,0,3,530.0,3,5,1,3,2,14,0
5,2,0,0,4,3726.5,5,4,4,3,2,42,1
4,1,0,0,4,515.0,4,4,3,4,1,27,1
5,5,0,0,5,184.0,5,2,3,5,5,23,1
4,3,0,0,4,3410.0,5,4,4,3,3,43,1
3,2,0,1,1,425.0,3,3,1,4,3,41,0
3,5,0,0,4,495.0,4,4,4,1,2,53,1
5,5,0,0,3,362.0,3,2,5,3,3,61,1
4,1,0,0,4,930.0,5,4,4,4,1,57,1
4,5,0,0,5,1725.0,4,5,5,5,5,55,1
4,2,2,1,1,864.0,4,2,1,5,2,61,0
4,2,0,0,5,2583.0,4,5,5,3,2,46,1
4,1,0,0,4,3326.0,4,5,5,4,1,12,1
1,1,2,1,2,101.0,2,5,4,2,1,27,0
2,2,1,1,4,746.0,5,2,3,4,2,49,0
3,3,0,0,3,1013.0,3,3,3,3,2,25,0
4,4,1,0,4,147.0,4,1,2,4,4,39,0
5,3,1,1,4,1080.0,5,3,4,3,3,47,0
5,3,0,0,5,1716.0,5,5,4,5,4,16,1
4,2,0,0,5,3726.5,4,5,5,4,2,49,1
1,4,1,0,4,145.0,3,4,4,4,2,59,1
2,4,0,0,5,3072.0,2,5,5,5,4,43,1
5,5,1,0,1,240.0,1,3,2,1,5,23,1
1,1,2,0,2,237.0,2,4,4,2,1,37,0
3,3,1,1,5,493.0,5,4,5,5,3,16,0
1,1,1,1,3,775.0,3,5,4,3,1,10,0
3,2,0,0,3,1773.0,4,3,3,4,2,45,1
3,4,0,0,4,1250.0,4,1,3,4,4,25,0
4,4,1,1,4,590.0,4,3,4,4,4,29,0
0,0,1,1,2,759.0,2,4,3,2,0,38,1
5,4,0,0,5,307.0,4,5,5,5,4,40,1
4,4,1,0,4,1598.0,5,2,2,4,2,26,1
5,5,1,0,5,461.0,5,2,2,5,4,68,1
4,1,0,0,3,1615.0,3,5,4,3,1,30,1
2,2,0,0,1,761.0,2,1,3,2,3,35,0
3,3,1,1,4,423.0,5,5,3,4,3,66,0
4,1,0,0,5,1772.0,5,5,5,4,1,42,1
5,2,0,0,3,1747.0,4,3,3,4,2,62,1
2,1,0,0,1,967.0,1,3,4,1,3,27,0
3,3,1,1,2,522.0,2,1,3,2,3,34,0
3,3,1,1,5,383.0,3,4,3,5,3,57,0
5,1,0,0,4,2369.0,5,4,4,3,1,34,1
2,2,1,0,3,247.0,3,1,2,3,2,20,0
4,1,0,0,5,3726.5,4,5,5,5,1,45,1
5,2,0,0,4,1597.0,3,4,4,1,3,43,1
1,1,1,1,5,639.0,3,4,4,5,1,69,0
4,4,0,0,1,1020.0,1,3,3,1,4,23,1
1,1,1,0,3,1013.0,3,4,2,3,1,35,0
1,1,1,0,2,761.0,2,2,4,2,1,22,0
1,1,1,0,4,431.0,4,4,3,4,1,24,0
5,5,1,0,5,169.0,5,4,2,5,2,38,1
1,1,1,0,3,329.0,3,2,5,3,1,24,0
4,2,1,1,2,763.0,5,2,2,3,2,42,0
4,1,0,0,4,2667.0,5,4,4,3,1,60,1
4,4,1,0,4,622.0,4,1,3,4,5,38,1
4,5,0,0,4,3726.5,4,4,3,4,2,33,1
2,3,1,1,2,1620.0,2,3,3,2,2,56,0
5,2,0,0,2,1092.0,5,2,2,3,2,54,1
4,2,1,1,2,488.0,2,5,3,2,4,36,0
4,4,2,0,4,299.0,4,3,2,4,3,39,0
1,4,0,0,4,2737.0,1,4,4,4,4,43,1
1,1,2,1,5,1617.0,5,2,4,5,1,19,0
1,1,2,1,3,89.0,3,5,4,3,1,12,0
3,3,1,0,4,620.0,4,3,1,4,3,23,0
4,4,0,0,4,2368.0,4,3,5,4,3,28,1
4,4,1,0,4,370.0,4,4,4,4,5,54,1
4,2,0,0,5,1791.0,5,5,5,3,2,56,1
0,2,2,1,5,260.0,5,2,1,5,0,65,0
5,5,0,0,1,283.0,1,2,3,1,5,20,1
3,3,2,1,5,1023.0,2,3,5,5,3,53,0
5,5,0,0,2,1521.0,4,2,2,3,3,37,1
3,3,1,0,3,462.0,2,3,4,3,3,23,0
1,1,0,0,5,1814.0,5,5,3,5,1,39,0
1,1,1,1,5,447.0,5,4,3,5,1,40,0
4,1,0,0,4,2290.0,5,4,4,3,1,56,1
4,4,1,1,4,224.0,4,3,3,4,4,33,1
5,4,1,0,4,589.0,4,1,1,4,5,24,0
2,2,0,0,2,746.0,2,3,2,2,3,63,0
3,2,0,0,2,3726.5,4,2,2,2,2,42,0
3,1,0,0,3,101.0,3,3,3,3,1,65,0
1,1,1,0,1,351.0,2,5,2,1,5,22,0
4,4,0,0,2,862.0,4,2,2,5,4,54,1
2,2,0,0,2,541.0,2,4,4,2,2,30,0
1,1,0,1,5,1747.0,5,2,3,5,1,15,0
5,3,1,1,4,3726.5,5,4,4,5,3,53,0
5,4,0,0,4,1881.0,5,4,4,4,4,48,1
2,2,1,1,1,489.0,2,3,3,1,2,21,0
3,3,1,1,1,983.0,4,5,3,1,3,53,0
5,2,0,0,4,569.0,5,4,4,4,2,51,1
4,4,1,1,2,181.0,2,4,1,2,4,7,0
1,1,1,1,1,1047.0,1,2,5,1,1,7,0
1,1,1,1,2,1101.0,2,3,2,2,1,31,0
1,5,0,0,4,1075.0,1,4,4,4,5,37,1
5,5,2,0,5,605.0,3,4,4,5,3,22,1
5,5,0,0,5,1235.0,4,5,5,3,5,36,1
5,1,0,0,5,1431.0,5,3,3,5,1,26,1
5,3,0,0,5,397.0,4,5,5,4,3,60,1
3,3,1,1,4,1504.0,4,1,4,4,3,41,0
5,3,0,0,4,190.0,4,4,4,5,3,49,1
1,2,2,0,4,101.0,4,4,3,4,1,33,0
2,3,0,0,2,190.0,3,3,1,2,3,17,0
2,2,1,0,1,708.0,1,5,1,1,2,10,0
3,3,1,0,3,224.0,3,3,3,4,5,68,0
4,3,1,0,3,222.0,2,3,3,2,2,52,1
4,2,1,1,4,280.0,3,2,4,3,2,60,0
2,2,1,1,3,239.0,4,1,5,3,2,56,0
5,1,1,1,3,3726.5,5,3,2,5,1,45,0
5,2,0,0,4,2480.0,5,4,4,4,4,56,1
4,0,0,0,2,337.0,4,3,2,4,0,52,1
4,3,0,0,3,1953.0,3,2,2,3,3,17,1
5,0,0,0,5,3350.0,5,2,4,5,0,30,1
3,3,0,0,3,2087.0,4,4,3,2,5,39,1
4,3,0,0,4,2611.0,4,3,5,4,1,18,1
5,5,0,0,5,3574.0,5,5,5,5,5,53,1
4,4,1,0,4,396.0,4,1,1,4,4,40,1
5,2,0,0,3,3514.0,5,4,3,3,2,35,1
4,3,2,1,4,425.0,5,3,4,3,3,45,0
3,3,2,1,4,738.0,4,2,5,4,3,8,0
4,1,0,0,3,2586.0,4,5,3,4,1,36,1
5,4,1,0,4,612.0,4,1,5,4,4,36,1
4,4,1,0,5,447.0,5,3,2,5,4,21,1
4,2,0,0,2,3041.0,3,2,2,2,5,57,0
4,5,0,0,4,321.0,4,3,3,4,5,28,1
2,4,0,0,5,2315.0,5,4,5,1,4,36,1
3,3,0,0,4,444.0,4,5,3,4,3,36,0
3,3,1,0,3,531.0,3,2,2,3,3,28,0
1,1,0,0,1,1452.0,1,3,3,1,1,26,0
5,2,0,0,3,3380.0,4,3,3,3,4,40,1
5,5,0,0,5,1504.0,5,5,3,5,5,31,1
4,1,0,0,4,3194.0,4,4,4,4,1,48,1
3,3,1,1,4,838.0,4,4,5,4,3,36,0
4,4,1,1,2,1017.0,2,1,3,2,4,25,0
4,4,0,0,5,562.0,4,4,5,5,4,24,1
2,3,1,1,4,731.0,2,3,4,3,3,55,0
2,2,1,1,4,169.0,4,2,3,4,2,39,0
3,3,1,1,3,636.0,1,4,3,3,3,67,0
3,3,1,1,2,1999.0,2,2,4,2,3,18,0
2,2,1,0,2,594.0,2,5,1,2,1,59,0
4,4,2,1,2,990.0,2,3,4,2,4,33,0
